id,country,Year (2010-2018),gini_index,palma,ratio_top20bottom20,bottom40,region_un,oecd (Countries that support the free market),incomegroup, gdp_ppp_pc_usd2011 , population 
20,Angola,2009,50,,13.75,12,Africa,Non-OECD,Lower middle income,6283,22549547
21,Angola,2009,38,,7.5,17,Africa,Non-OECD,Lower middle income,6283,22549547
22,Angola,2009,55,,19.67,10,Africa,Non-OECD,Lower middle income,6283,22549547
23,Angola,2009,39,,7.5,17,Africa,Non-OECD,Lower middle income,6283,22549547
24,Angola,2009,42.72,2.15,8.94,15.05,Africa,Non-OECD,Lower middle income,6293,22514276
25,Argentina,1953,40,2.05,6.77,18.1,Americas,Non-OECD,Upper middle income,,18224150
26,Argentina,1953,41.2,2.03,6.67,18.1,Americas,Non-OECD,Upper middle income,,18224150
27,Argentina,1959,44.7,2.61,8.06,16.2,Americas,Non-OECD,Upper middle income,,20285531
28,Argentina,1959,46.3,2.55,7.93,16.4,Americas,Non-OECD,Upper middle income,,20285531
29,Argentina,1961,41.9,2.25,7.41,17.3,Americas,Non-OECD,Upper middle income,,20953077
30,Argentina,1961,40.7,2.12,6.81,18.1,Americas,Non-OECD,Upper middle income,,20953077
31,Argentina,1961,50.8,3.11,9.39,14,Americas,Non-OECD,Upper middle income,,20953077
32,Argentina,1961,42,2.05,6.86,17.4,Americas,Non-OECD,Upper middle income,,20953077
33,Argentina,1961,47.7,2.66,10.5,14.8,Americas,Non-OECD,Upper middle income,,20953077
34,Argentina,1961,43.8,2.23,7.38,16.6,Americas,Non-OECD,Upper middle income,,20953077
35,Argentina,1961,49,2.83,10.57,14.4,Americas,Non-OECD,Upper middle income,,20953077
36,Argentina,1961,53.1,3.37,11.12,13.4,Americas,Non-OECD,Upper middle income,,20953077
37,Argentina,1961,42.3,,,,Americas,Non-OECD,Upper middle income,,20953077
38,Argentina,1961,42.5,,,,Americas,Non-OECD,Upper middle income,,20953077
39,Argentina,1961,47.8,,,,Americas,Non-OECD,Upper middle income,,20953077
40,Argentina,1961,42,,7.36,17.4,Americas,Non-OECD,Upper middle income,,20953077
41,Argentina,1961,43.4,2.24,7.37,17.4,Americas,Non-OECD,Upper middle income,,20953077
42,Argentina,1963,37.3,1.71,6.72,17.8,Americas,Non-OECD,Upper middle income,,21621840
43,Argentina,1963,35.8,1.57,6.21,18.8,Americas,Non-OECD,Upper middle income,,21621840
44,Argentina,1963,38.5,1.71,6.72,17.6,Americas,Non-OECD,Upper middle income,,21621840
45,Argentina,1965,35.3,1.49,6.67,18.1,Americas,Non-OECD,Upper middle income,,22283390
46,Argentina,1969,37.3,1.69,7.24,17.3,Americas,Non-OECD,Upper middle income,,23605987
47,Argentina,1970,36.1,1.53,6.89,18,Americas,Non-OECD,Upper middle income,,23973058
48,Argentina,1970,41.1,1.95,8.39,16.2,Americas,Non-OECD,Upper middle income,,23973058
49,Argentina,1972,35.3,1.51,6.83,18.3,Americas,Non-OECD,Upper middle income,,24782949
50,Argentina,1972,33.4,1.37,6.06,19.4,Americas,Non-OECD,Upper middle income,,24782949
51,Argentina,1974,34.5,1.38,5.81,19.1,Americas,Non-OECD,Upper middle income,,25644506
52,Argentina,1974,32.2,1.23,5.15,20.4,Americas,Non-OECD,Upper middle income,,25644506
53,Argentina,1974,36,1.55,7.2,17.5,Americas,Non-OECD,Upper middle income,,25644506
54,Argentina,1974,34.4,,,,Americas,Non-OECD,Upper middle income,,25644506
55,Argentina,1975,36.1,1.54,7.27,17.3,Americas,Non-OECD,Upper middle income,,26066975
56,Argentina,1975,34.7,,,,Americas,Non-OECD,Upper middle income,,26066975
57,Argentina,1976,35.2,,,,Americas,Non-OECD,Upper middle income,,26477152
58,Argentina,1977,40.3,,,,Americas,Non-OECD,Upper middle income,,26878565
59,Argentina,1978,43.4,,,,Americas,Non-OECD,Upper middle income,,27277741
60,Argentina,1979,41.3,,,,Americas,Non-OECD,Upper middle income,,27684534
61,Argentina,1980,39.3,1.78,7.75,16.4,Americas,Non-OECD,Upper middle income,,28105888
62,Argentina,1980,37.6,1.61,6.86,17.6,Americas,Non-OECD,Upper middle income,,28105888
63,Argentina,1980,41.6,2.13,9.56,14.5,Americas,Non-OECD,Upper middle income,,28105888
64,Argentina,1980,40.83,1.95,8.78,15.49,Americas,Non-OECD,Upper middle income,,27896532
65,Argentina,1980,40.5,,,,Americas,Non-OECD,Upper middle income,,28105888
66,Argentina,1980,40.8,1.92,8.79,15.6,Americas,Non-OECD,Upper middle income,,28105888
67,Argentina,1981,42.7,2.29,9.56,14.6,Americas,Non-OECD,Upper middle income,,28543364
68,Argentina,1981,42.8,,,,Americas,Non-OECD,Upper middle income,,28543364
69,Argentina,1982,40.2,,,,Americas,Non-OECD,Upper middle income,,28993987
70,Argentina,1983,40.4,,,,Americas,Non-OECD,Upper middle income,,29454738
71,Argentina,1985,39.8,,,,Americas,Non-OECD,Upper middle income,,30388783
72,Argentina,1986,42.2,2.08,8.76,15.4,Americas,Non-OECD,Upper middle income,,30857244
73,Argentina,1986,40.5,1.89,7.88,16.5,Americas,Non-OECD,Upper middle income,,30857244
74,Argentina,1986,42.79,2.18,9.48,14.9,Americas,Non-OECD,Upper middle income,,30698964
75,Argentina,1987,44.8,2.4,10.5,14.2,Americas,Non-OECD,Upper middle income,,31326473
76,Argentina,1987,43.1,2.17,9.09,15.2,Americas,Non-OECD,Upper middle income,,31326473
77,Argentina,1987,45.28,2.5,10.95,13.79,Americas,Non-OECD,Upper middle income,,31184410
78,Argentina,1987,43.3,,,,Americas,Non-OECD,Upper middle income,,31326473
79,Argentina,1988,45.5,2.51,11.5,13.5,Americas,Non-OECD,Upper middle income,,31795517
80,Argentina,1988,43.7,2.27,9.88,14.5,Americas,Non-OECD,Upper middle income,,31795517
81,Argentina,1988,45.2,,,,Americas,Non-OECD,Upper middle income,,31795517
82,Argentina,1989,47.6,2.83,12.83,12.7,Americas,Non-OECD,Upper middle income,,32263561
83,Argentina,1990,50.1,3.18,13.1,12.4,Americas,Non-OECD,Upper middle income,11334,32729739
84,Argentina,1990,43.1,2.39,8.91,14.8,Americas,Non-OECD,Upper middle income,11334,32729739
85,Argentina,1991,46.5,2.61,10.69,14,Americas,Non-OECD,Upper middle income,12196,33193918
86,Argentina,1991,44.2,2.3,9.22,15.2,Americas,Non-OECD,Upper middle income,12196,33193918
87,Argentina,1991,46.76,2.64,10.9,13.88,Americas,Non-OECD,Upper middle income,12239,33079004
88,Argentina,1991,44.1,2.49,9.05,14.6,Americas,Non-OECD,Upper middle income,12196,33193918
89,Argentina,1992,44.4,2.36,10.06,14.3,Americas,Non-OECD,Upper middle income,12984,33655151
90,Argentina,1992,42.4,2.1,8.71,15.4,Americas,Non-OECD,Upper middle income,12984,33655151
91,Argentina,1992,45,2.44,10.54,14,Americas,Non-OECD,Upper middle income,12984,33655151
92,Argentina,1992,42.9,2.18,9.09,15,Americas,Non-OECD,Upper middle income,12984,33655151
93,Argentina,1992,48.2,2.86,12.14,13,Americas,Non-OECD,Upper middle income,12984,33655151
94,Argentina,1992,45.47,2.48,11.06,13.8,Americas,Non-OECD,Upper middle income,13033,33529320
95,Argentina,1992,43.6,2.42,10.31,14.2,Americas,Non-OECD,Upper middle income,12984,33655151
96,Argentina,1993,44.4,2.36,10.55,14,Americas,Non-OECD,Upper middle income,13862,34110917
97,Argentina,1993,42.3,2.11,9.25,15.1,Americas,Non-OECD,Upper middle income,13862,34110917
98,Argentina,1993,44.86,2.41,11.21,13.77,Americas,Non-OECD,Upper middle income,13919,33970100
99,Argentina,1994,45.3,2.5,11,13.7,Americas,Non-OECD,Upper middle income,14481,34558115
100,Argentina,1994,43.1,2.19,9.25,15,Americas,Non-OECD,Upper middle income,14481,34558115
101,Argentina,1994,51.5,3.47,14.84,11.6,Americas,Non-OECD,Upper middle income,14481,34558115
102,Argentina,1994,45.92,2.57,11.63,13.4,Americas,Non-OECD,Upper middle income,14547,34402668
103,Argentina,1994,43.8,2.43,10.56,14.3,Americas,Non-OECD,Upper middle income,14481,34558115
104,Argentina,1995,48.1,2.91,13.02,12.6,Americas,Non-OECD,Upper middle income,13894,34994814
105,Argentina,1995,46,2.58,11.24,13.7,Americas,Non-OECD,Upper middle income,13894,34994814
106,Argentina,1995,48.9,3.03,14.31,12.18,Americas,Non-OECD,Upper middle income,13960,34828168
107,Argentina,1995,46.3,2.83,11.98,13.2,Americas,Non-OECD,Upper middle income,13894,34994814
108,Argentina,1996,48.6,2.97,13.35,12.3,Americas,Non-OECD,Upper middle income,14486,35419682
109,Argentina,1996,46.3,2.61,11.49,13.4,Americas,Non-OECD,Upper middle income,14486,35419682
110,Argentina,1996,49.52,3.15,15.33,11.72,Americas,Non-OECD,Upper middle income,14557,35246376
111,Argentina,1996,45.8,2.75,12.16,13.2,Americas,Non-OECD,Upper middle income,14486,35419682
112,Argentina,1996,47.7,,,,Americas,Non-OECD,Upper middle income,14486,35419682
113,Argentina,1997,48.3,2.96,13.67,12.2,Americas,Non-OECD,Upper middle income,15479,35833969
114,Argentina,1997,46.1,2.57,11.42,13.4,Americas,Non-OECD,Upper middle income,15479,35833969
115,Argentina,1997,53,3.78,16.06,11,Americas,Non-OECD,Upper middle income,15479,35833969
116,Argentina,1997,49.11,3.09,15.11,11.75,Americas,Non-OECD,Upper middle income,15556,35657436
117,Argentina,1997,44.8,2.6,11.64,13.6,Americas,Non-OECD,Upper middle income,15479,35833969
118,Argentina,1998,50.2,3.25,14.81,11.6,Americas,Non-OECD,Upper middle income,15895,36241590
119,Argentina,1998,48,2.85,12.64,12.7,Americas,Non-OECD,Upper middle income,15895,36241590
120,Argentina,1998,50.1,3.26,14.78,11.6,Americas,Non-OECD,Upper middle income,15895,36241590
121,Argentina,1998,47.8,2.85,12.6,12.7,Americas,Non-OECD,Upper middle income,15895,36241590
122,Argentina,1998,50.73,3.39,16.15,11.21,Americas,Non-OECD,Upper middle income,15973,36063448
123,Argentina,1998,46.7,2.88,12.62,12.8,Americas,Non-OECD,Upper middle income,15895,36241590
124,Argentina,1998,49.4,,,,Americas,Non-OECD,Upper middle income,15895,36241590
125,Argentina,1999,49.1,3.08,14.13,11.9,Americas,Non-OECD,Upper middle income,15186,36648068
126,Argentina,1999,46.8,2.69,12.09,13.1,Americas,Non-OECD,Upper middle income,15186,36648068
127,Argentina,1999,53.9,3.96,17.18,10.8,Americas,Non-OECD,Upper middle income,15186,36648068
128,Argentina,1999,49.79,3.23,15.52,11.48,Americas,Non-OECD,Upper middle income,15261,36467220
129,Argentina,2000,50.4,3.34,15.66,11.2,Americas,Non-OECD,Upper middle income,14900,37057452
130,Argentina,2000,48.2,2.96,13.64,12.2,Americas,Non-OECD,Upper middle income,14900,37057452
131,Argentina,2000,54.4,4.2,18.38,10.2,Americas,Non-OECD,Upper middle income,14900,37057452
132,Argentina,2000,48.7,2.94,17.23,12.5,Americas,Non-OECD,Upper middle income,14975,36870796
133,Argentina,2000,51.06,3.5,17.29,10.77,Americas,Non-OECD,Upper middle income,14975,36870796
134,Argentina,2001,52.2,3.78,18.16,10.3,Americas,Non-OECD,Upper middle income,14086,37471509
135,Argentina,2001,50.1,3.3,15.63,11.4,Americas,Non-OECD,Upper middle income,14086,37471509
136,Argentina,2001,50.5,3.31,22.67,11.4,Americas,Non-OECD,Upper middle income,14160,37275644
137,Argentina,2001,53.34,4.08,22.09,9.67,Americas,Non-OECD,Upper middle income,14160,37275644
138,Argentina,2002,53.3,3.99,19.17,10.1,Americas,Non-OECD,Upper middle income,12413,37889370
139,Argentina,2002,51.2,3.51,16.44,11.1,Americas,Non-OECD,Upper middle income,12413,37889370
140,Argentina,2002,49.8,3.37,21.48,11.1,Americas,Non-OECD,Upper middle income,12481,37681744
141,Argentina,2002,53.79,4.17,20.93,9.71,Americas,Non-OECD,Upper middle income,12481,37681744
142,Argentina,2003,52.8,3.89,17.81,10.2,Americas,Non-OECD,Upper middle income,13361,38309379
143,Argentina,2003,50.6,3.4,14.97,11.3,Americas,Non-OECD,Upper middle income,13361,38309379
144,Argentina,2003,50.5,3.39,16.61,10.9,Americas,Non-OECD,Upper middle income,13439,38087868
145,Argentina,2003,48.13,2.93,14.07,12.06,Americas,Non-OECD,Upper middle income,13439,38087868
146,Argentina,2003,46.7,2.61,12.98,14,Americas,Non-OECD,Upper middle income,13439,38087868
147,Argentina,2003,51.2,3.53,17.26,10.71,Americas,Non-OECD,Upper middle income,13439,38087868
148,Argentina,2004,48.11,2.97,14.71,11.68,Americas,Non-OECD,Upper middle income,14499,38491968
149,Argentina,2004,45.66,2.55,12.33,12.91,Americas,Non-OECD,Upper middle income,14499,38491968
150,Argentina,2004,43.8,2.24,11.02,14.9,Americas,Non-OECD,Upper middle income,14499,38491968
151,Argentina,2004,48.59,3.05,15.09,11.59,Americas,Non-OECD,Upper middle income,14499,38491968
152,Argentina,2005,47.53,2.86,13.95,12.08,Americas,Non-OECD,Upper middle income,15619,38892924
153,Argentina,2005,45.17,2.48,11.79,13.29,Americas,Non-OECD,Upper middle income,15619,38892924
154,Argentina,2005,42.9,2.12,9.61,15.5,Americas,Non-OECD,Upper middle income,15619,38892924
155,Argentina,2005,47.95,2.93,14.29,11.96,Americas,Non-OECD,Upper middle income,15619,38892924
156,Argentina,2006,46.51,2.7,13.36,12.44,Americas,Non-OECD,Upper middle income,16706,39289876
157,Argentina,2006,44.13,2.33,11.34,13.68,Americas,Non-OECD,Upper middle income,16706,39289876
158,Argentina,2006,44.3,2.3,9.86,14.8,Americas,Non-OECD,Upper middle income,16706,39289876
159,Argentina,2006,46.71,2.73,13.59,12.39,Americas,Non-OECD,Upper middle income,16706,39289876
160,Argentina,2007,46.14,2.64,12.78,12.63,Americas,Non-OECD,Upper middle income,18030,39684304
161,Argentina,2007,43.78,2.29,10.81,13.89,Americas,Non-OECD,Upper middle income,18030,39684304
162,Argentina,2007,43.7,2.26,9.52,14.8,Americas,Non-OECD,Upper middle income,18030,39684304
163,Argentina,2007,46.58,2.71,13.06,12.47,Americas,Non-OECD,Upper middle income,18030,39684304
164,Argentina,2008,44.4,2.38,11.9,13.28,Americas,Non-OECD,Upper middle income,18576,40080160
165,Argentina,2008,41.94,2.05,10.04,14.63,Americas,Non-OECD,Upper middle income,18576,40080160
166,Argentina,2008,41.3,1.96,8.37,15.9,Americas,Non-OECD,Upper middle income,18576,40080160
167,Argentina,2008,45.3,2.5,12.46,13.01,Americas,Non-OECD,Upper middle income,18576,40080160
168,Argentina,2009,43.81,2.31,11.73,13.47,Americas,Non-OECD,Upper middle income,17303,40482784
169,Argentina,2009,41.34,1.99,9.96,14.77,Americas,Non-OECD,Upper middle income,17303,40482784
170,Argentina,2009,41.3,1.95,8.5,15.8,Americas,Non-OECD,Upper middle income,17303,40482784
171,Argentina,2009,44.14,2.34,11.86,13.4,Americas,Non-OECD,Upper middle income,17303,40482784
172,Argentina,2009,44.7,,,,Americas,Non-OECD,Upper middle income,17168,40799407
173,Argentina,2009,48.9,,,,Americas,Non-OECD,Upper middle income,17168,40799407
174,Argentina,2010,42.91,2.18,10.26,14.21,Americas,Non-OECD,Upper middle income," $18,862.00 "," 40,895,752.00 "
175,Argentina,2010,40.27,1.87,8.69,15.62,Americas,Non-OECD,Upper middle income," $18,862.00 "," 40,895,752.00 "
176,Argentina,2010,41.2,1.93,8.17,16.1,Americas,Non-OECD,Upper middle income," $18,862.00 "," 40,895,752.00 "
177,Argentina,2010,44.46,2.39,11.83,13.37,Americas,Non-OECD,Upper middle income," $18,862.00 "," 40,895,752.00 "
178,Argentina,2011,42.23,2.1,9.79,14.57,Americas,Non-OECD,Upper middle income," $19,789.00 "," 41,320,496.00 "
179,Argentina,2011,39.48,1.79,8.29,16.02,Americas,Non-OECD,Upper middle income," $19,789.00 "," 41,320,496.00 "
180,Argentina,2011,40.6,1.84,8,16.7,Americas,Non-OECD,Upper middle income," $19,789.00 "," 41,320,496.00 "
181,Argentina,2011,42.74,2.16,10.01,14.37,Americas,Non-OECD,Upper middle income," $19,789.00 "," 41,320,496.00 "
182,Argentina,2012,41.19,1.97,9.31,14.9,Americas,Non-OECD,Upper middle income," $19,382.00 "," 41,755,188.00 "
183,Argentina,2012,38.4,1.69,7.86,16.41,Americas,Non-OECD,Upper middle income," $19,382.00 "," 41,755,188.00 "
184,Argentina,2012,38.9,1.71,7.31,16.8,Americas,Non-OECD,Upper middle income," $19,382.00 "," 41,755,188.00 "
185,Argentina,2012,41.38,1.99,9.34,14.89,Americas,Non-OECD,Upper middle income," $19,382.00 "," 41,755,188.00 "
186,Argentina,2013,40.87,1.95,9.07,15.04,Americas,Non-OECD,Upper middle income," $19,641.00 "," 42,196,036.00 "
187,Argentina,2013,38.03,1.66,7.63,16.59,Americas,Non-OECD,Upper middle income," $19,641.00 "," 42,196,036.00 "
188,Argentina,2013,38.9,1.7,7.29,16.8,Americas,Non-OECD,Upper middle income," $19,641.00 "," 42,196,036.00 "
189,Argentina,2013,41.01,1.96,9.19,14.98,Americas,Non-OECD,Upper middle income," $19,641.00 "," 42,196,036.00 "
190,Argentina,2014,41.32,1.98,9.08,14.9,Americas,Non-OECD,Upper middle income," $18,949.00 "," 42,637,508.00 "
191,Argentina,2014,38.33,1.68,7.6,16.53,Americas,Non-OECD,Upper middle income," $18,949.00 "," 42,637,508.00 "
192,Argentina,2014,39.1,1.75,7.25,16.8,Americas,Non-OECD,Upper middle income," $18,949.00 "," 42,637,508.00 "
193,Argentina,2014,41.7,2.03,9.28,14.76,Americas,Non-OECD,Upper middle income," $18,949.00 "," 42,637,508.00 "
194,Argentina,2015,40.53,1.9,8.74,15.24,Americas,Non-OECD,Upper middle income," $19,269.00 "," 43,075,416.00 "
195,Argentina,2015,37.48,1.6,7.3,16.87,Americas,Non-OECD,Upper middle income," $19,269.00 "," 43,075,416.00 "
196,Argentina,2016,42.35,2.11,9.5,14.66,Americas,Non-OECD,Upper middle income," $18,680.00 "," 43,508,460.00 "
197,Argentina,2016,39.41,1.79,7.93,16.28,Americas,Non-OECD,Upper middle income," $18,680.00 "," 43,508,460.00 "
198,Argentina,2016,39.3,1.78,7.45,17,Americas,Non-OECD,Upper middle income," $18,680.00 "," 43,508,460.00 "
199,Argentina,2016,42.02,2.07,9.6,14.65,Americas,Non-OECD,Upper middle income," $18,680.00 "," 43,508,460.00 "
200,Argentina,2017,40.56,1.91,8.73,15.34,Americas,Non-OECD,Upper middle income," $18,992.00 "," 43,937,144.00 "
201,Argentina,2017,37.62,1.62,7.31,16.99,Americas,Non-OECD,Upper middle income," $18,992.00 "," 43,937,144.00 "
202,Argentina,2017,38.8,1.74,7.32,17,Americas,Non-OECD,Upper middle income," $18,992.00 "," 43,937,144.00 "
203,Argentina,2017,41.2,1.98,9.17,15.02,Americas,Non-OECD,Upper middle income," $18,992.00 "," 43,937,144.00 "
204,Argentina,2018,39.6,1.8,7.56,16.8,Americas,Non-OECD,Upper middle income," $18,337.00 "," 44,361,148.00 "
205,Armenia,1986,26.9,,,,Asia,Non-OECD,Upper middle income,,3392256
206,Armenia,1988,28,,,,Asia,Non-OECD,Upper middle income,,3504651
207,Armenia,1989,25.9,,,,Asia,Non-OECD,Upper middle income,,3536469
208,Armenia,1989,25.8,,,,Asia,Non-OECD,Upper middle income,,3536469
209,Armenia,1990,26.9,,,,Asia,Non-OECD,Upper middle income,3742,3538165
210,Armenia,1991,29.6,,,,Asia,Non-OECD,Upper middle income,3336,3505251
211,Armenia,1992,35.5,,,,Asia,Non-OECD,Upper middle income,1977,3442810
212,Armenia,1993,36.6,,,,Asia,Non-OECD,Upper middle income,1845,3363098
213,Armenia,1994,32.1,,,,Asia,Non-OECD,Upper middle income,1992,3283660
214,Armenia,1995,38.1,,,,Asia,Non-OECD,Upper middle income,2173,3217342
215,Armenia,1996,42,,,,Asia,Non-OECD,Upper middle income,2337,3168215
216,Armenia,1996,61.3,7.29,36.51,6.87,Asia,Non-OECD,Upper middle income,2337,3168215
217,Armenia,1996,48.2,3.11,12.13,12.78,Asia,Non-OECD,Upper middle income,2337,3168215
218,Armenia,1996,44.42,2.36,9.15,14.9,Asia,Non-OECD,Upper middle income,2337,3168213
219,Armenia,1998,55.5,4.72,22.52,9.58,Asia,Non-OECD,Upper middle income,2640,3108684
220,Armenia,1998,36.5,1.71,6.99,17.61,Asia,Non-OECD,Upper middle income,2640,3108684
221,Armenia,1999,36.22,1.55,5.84,19.15,Asia,Non-OECD,Upper middle income,2744,3089020
222,Armenia,2000,48.6,,,,Asia,Non-OECD,Upper middle income,2925,3069588
223,Armenia,2001,35.36,1.48,5.68,19.61,Asia,Non-OECD,Upper middle income,3224,3050686
224,Armenia,2002,35.9,,,,Asia,Non-OECD,Upper middle income,3669,3033897
225,Armenia,2002,34.78,1.44,5.4,20.08,Asia,Non-OECD,Upper middle income,3669,3033976
226,Armenia,2003,48.4,2.8,13.15,13.17,Asia,Non-OECD,Upper middle income,4207,3017806
227,Armenia,2003,54.3,,,,Asia,Non-OECD,Upper middle income,4207,3017806
228,Armenia,2003,33.03,1.34,4.87,21.11,Asia,Non-OECD,Upper middle income,4207,3017938
229,Armenia,2004,45.5,,,,Asia,Non-OECD,Upper middle income,4674,3000612
230,Armenia,2004,37.51,1.66,6.03,19.06,Asia,Non-OECD,Upper middle income,4674,3000715
231,Armenia,2005,43.4,,,,Asia,Non-OECD,Upper middle income,5357,2981259
232,Armenia,2005,35.99,1.55,5.55,19.87,Asia,Non-OECD,Upper middle income,5357,2981262
233,Armenia,2006,40,,,,Asia,Non-OECD,Upper middle income,6110,2958500
234,Armenia,2006,29.71,1.11,4.34,22.08,Asia,Non-OECD,Upper middle income,6111,2958301
235,Armenia,2007,30.2,,5.57,20,Asia,Non-OECD,Upper middle income,7011,2933056
236,Armenia,2007,,1.38,5.62,19.8,Asia,Non-OECD,Upper middle income,7011,2933056
237,Armenia,2007,31.23,1.18,4.76,21.21,Asia,Non-OECD,Upper middle income,7012,2932615
238,Armenia,2008,33.9,,5.43,21,Asia,Non-OECD,Upper middle income,7558,2908220
239,Armenia,2008,,1.25,5.14,20.3,Asia,Non-OECD,Upper middle income,7558,2908220
240,Armenia,2008,29.19,1.07,4.21,22.19,Asia,Non-OECD,Upper middle income,7560,2907615
241,Armenia,2009,35.5,,5.29,21,Asia,Non-OECD,Upper middle income,6533,2888584
242,Armenia,2009,,1.26,5.13,20.3,Asia,Non-OECD,Upper middle income,6533,2888584
243,Armenia,2009,28.02,1,4.01,22.87,Asia,Non-OECD,Upper middle income,6534,2888094
244,Armenia,2010,36.2,1.82,9,16,Asia,Non-OECD,Upper middle income," $6,703.00 "," 2,877,311.00 "
245,Armenia,2010,,1.33,5.23,20.3,Asia,Non-OECD,Upper middle income," $6,703.00 "," 2,877,311.00 "
246,Armenia,2010,29.99,1.13,4.33,22.15,Asia,Non-OECD,Upper middle income," $6,703.00 "," 2,877,314.00 "
247,Armenia,2011,37.1,,5.29,21,Asia,Non-OECD,Upper middle income," $7,022.00 "," 2,875,581.00 "
248,Armenia,2011,,1.38,5.31,20.2,Asia,Non-OECD,Upper middle income," $7,022.00 "," 2,875,581.00 "
249,Armenia,2011,29.35,1.08,4.27,22.24,Asia,Non-OECD,Upper middle income," $7,020.00 "," 2,876,536.00 "
250,Armenia,2012,29.6,1.11,4.31,22.17,Asia,Non-OECD,Upper middle income," $7,505.00 "," 2,884,239.00 "
251,Armenia,2013,30.58,1.15,4.57,21.5,Asia,Non-OECD,Upper middle income," $7,717.00 "," 2,897,593.00 "
252,Armenia,2014,31.48,1.22,4.74,21.11,Asia,Non-OECD,Upper middle income," $7,954.00 "," 2,912,403.00 "
253,Armenia,2015,32.36,1.29,4.95,20.79,Asia,Non-OECD,Upper middle income," $8,172.00 "," 2,925,559.00 "
254,Armenia,2016,32.55,1.27,5.11,19.97,Asia,Non-OECD,Upper middle income," $8,159.00 "," 2,936,147.00 "
255,Armenia,2017,33.62,1.37,5.06,20.74,Asia,Non-OECD,Upper middle income," $8,745.00 "," 2,944,789.00 "
256,Australia,1942,34.8,,,,Oceania,OECD,High income,,
257,Australia,1942,23.5,,,,Oceania,OECD,High income,,
258,Australia,1943,34.9,,,,Oceania,OECD,High income,,
259,Australia,1944,34.1,,,,Oceania,OECD,High income,,
260,Australia,1944,23.1,,,,Oceania,OECD,High income,,
261,Australia,1945,34.4,,,,Oceania,OECD,High income,,
262,Australia,1945,23.7,,,,Oceania,OECD,High income,,
263,Australia,1946,33.6,,,,Oceania,OECD,High income,,
264,Australia,1946,23.6,,,,Oceania,OECD,High income,,
265,Australia,1947,35.5,,,,Oceania,OECD,High income,,
266,Australia,1947,26.2,,,,Oceania,OECD,High income,,
267,Australia,1948,35.8,,,,Oceania,OECD,High income,,
268,Australia,1948,26.5,,,,Oceania,OECD,High income,,
269,Australia,1949,36.4,,,,Oceania,OECD,High income,,
270,Australia,1949,27.2,,,,Oceania,OECD,High income,,
271,Australia,1950,42.7,,,,Oceania,OECD,High income,,8177342
272,Australia,1950,30.3,,,,Oceania,OECD,High income,,8177342
273,Australia,1951,34.8,,,,Oceania,OECD,High income,,8412604
274,Australia,1951,22.7,,,,Oceania,OECD,High income,,8412604
275,Australia,1952,34.1,,,,Oceania,OECD,High income,,8620970
276,Australia,1952,23.5,,,,Oceania,OECD,High income,,8620970
277,Australia,1953,32,,,,Oceania,OECD,High income,,8816902
278,Australia,1953,23,,,,Oceania,OECD,High income,,8816902
279,Australia,1954,32,,,,Oceania,OECD,High income,,9011190
280,Australia,1954,23.5,,,,Oceania,OECD,High income,,9011190
281,Australia,1955,32.7,,,,Oceania,OECD,High income,,9210908
282,Australia,1955,23.6,,,,Oceania,OECD,High income,,9210908
283,Australia,1956,31.5,,,,Oceania,OECD,High income,,9419268
284,Australia,1956,24,,,,Oceania,OECD,High income,,9419268
