Country,Year (2010-2018),Gini_index,Palma,Ratio: [top20_bottom20],Bottom 40,Region,OECD, GDP_PPP [USD2011] , Population ,N/A
Argentina,2017,38.8,1.74,7.32,17,Americas,Non-OECD,"$18,992.00 ","43,937,144.00",N/A
Argentina,2017,41.2,1.98,9.17,15.02,Americas,Non-OECD,"$18,992.00 ","43,937,144.00",N/A
Argentina,2018,39.6,1.8,7.56,16.8,Americas,Non-OECD,"$18,337.00 ","44,361,148.00",N/A
Armenia,2010,36.2,1.82,9,16,Asia,Non-OECD,"$6,703.00 ","2,877,311.00",N/A
Armenia,2010,N/A,1.33,5.23,20.3,Asia,Non-OECD,"$6,703.00 ","2,877,311.00",N/A
Armenia,2010,29.99,1.13,4.33,22.15,Asia,Non-OECD,"$6,703.00 ","2,877,314.00",N/A
Armenia,2011,37.1,N/A,5.29,21,Asia,Non-OECD,"$7,022.00 ","2,875,581.00",N/A
Armenia,2011,N/A,1.38,5.31,20.2,Asia,Non-OECD,"$7,022.00 ","2,875,581.00",N/A
Armenia,2011,29.35,1.08,4.27,22.24,Asia,Non-OECD,"$7,020.00 ","2,876,536.00",N/A
Armenia,2012,29.6,1.11,4.31,22.17,Asia,Non-OECD,"$7,505.00 ","2,884,239.00",N/A
Armenia,2013,30.58,1.15,4.57,21.5,Asia,Non-OECD,"$7,717.00 ","2,897,593.00",N/A
Armenia,2014,31.48,1.22,4.74,21.11,Asia,Non-OECD,"$7,954.00 ","2,912,403.00",N/A
Armenia,2015,32.36,1.29,4.95,20.79,Asia,Non-OECD,"$8,172.00 ","2,925,559.00",N/A
Armenia,2016,32.55,1.27,5.11,19.97,Asia,Non-OECD,"$8,159.00 ","2,936,147.00",N/A
Armenia,2017,33.62,1.37,5.06,20.74,Asia,Non-OECD,"$8,745.00 ","2,944,789.00",N/A
Australia,2010,34.7,1.39,5.82,19.05,Oceania,OECD,"$41,299.00 ","22,154,688.00",N/A
Australia,2010,33.3,1.29,5.63,19.44,Oceania,OECD,"$41,299.00 ","22,154,688.00",N/A
Australia,2010,38.3,1.68,7.1,17.12,Oceania,OECD,"$41,299.00 ","22,154,688.00",N/A
Australia,2010,37.1,1.59,7.06,17.22,Oceania,OECD,"$41,299.00 ","22,154,688.00",N/A
Australia,2010,33.5,1.31,5.58,19.52,Oceania,OECD,"$41,299.00 ","22,154,688.00",N/A
Australia,2010,31.6,1.17,5.15,20.23,Oceania,OECD,"$41,299.00 ","22,154,688.00",N/A
Australia,2010,28.3,N/A,4.58,21.7,Oceania,OECD,"$41,364.00 ","22,120,064.00",N/A
Australia,2010,33.4,N/A,N/A,N/A,Oceania,OECD,"$41,364.00 ","22,120,064.00",N/A
Australia,2010,46.9,N/A,N/A,N/A,Oceania,OECD,"$41,364.00 ","22,120,064.00",N/A
Australia,2010,34.66,1.38,5.77,19.1,Oceania,OECD,"$41,299.00 ","22,154,688.00",N/A
Australia,2011,28.3,N/A,4.49,21.8,Oceania,OECD,"$41,704.00 ","22,479,799.00",N/A
Australia,2012,32.6,N/A,N/A,N/A,Oceania,OECD,"$42,682.00 ","22,821,849.00",N/A
Australia,2012,36.8,N/A,N/A,N/A,Oceania,OECD,"$42,682.00 ","22,821,849.00",N/A
Australia,2012,46.3,N/A,N/A,N/A,Oceania,OECD,"$42,682.00 ","22,821,849.00",N/A
Australia,2014,34.4,1.38,5.68,19.59,Oceania,OECD,"$43,449.00 ","23,596,426.00",N/A
Australia,2014,33,1.3,5.44,19.82,Oceania,OECD,"$43,449.00 ","23,596,426.00",N/A
Australia,2014,39.2,1.77,7.23,17.17,Oceania,OECD,"$43,449.00 ","23,596,426.00",N/A
Australia,2014,38.3,1.72,7.23,17.08,Oceania,OECD,"$43,449.00 ","23,596,426.00",N/A
Australia,2014,33.3,N/A,5.44,19.8,Oceania,OECD,"$43,674.00 ","23,474,668.00",N/A
Australia,2014,44.6,N/A,11.55,13.1,Oceania,OECD,"$43,674.00 ","23,474,668.00",N/A
Australia,2014,33.7,N/A,N/A,N/A,Oceania,OECD,"$43,674.00 ","23,474,668.00",N/A
Australia,2014,39,N/A,N/A,N/A,Oceania,OECD,"$43,674.00 ","23,474,668.00",N/A
Australia,2014,48.3,N/A,N/A,N/A,Oceania,OECD,"$43,674.00 ","23,474,668.00",N/A
Australia,2014,35.84,1.48,6.31,18.82,Oceania,OECD,"$43,449.00 ","23,596,426.00",N/A
Australia,2016,33,1.26,5.49,19.68,Oceania,OECD,"$44,474.00 ","24,262,710.00",N/A
Austria,2010,30.3,1.12,4.77,21.25,Europe,OECD,"$43,096.00 ","8,409,945.00",N/A
Austria,2010,27.9,0.98,4.24,22.54,Europe,OECD,"$43,096.00 ","8,409,945.00",N/A
Austria,2010,28.3,1.01,4.31,22.6,Europe,OECD,"$43,096.00 ","8,409,945.00",N/A
Austria,2010,28,N/A,N/A,N/A,Europe,OECD,"$43,096.00 ","8,409,949.00",N/A
Austria,2010,32.5,N/A,N/A,N/A,Europe,OECD,"$43,096.00 ","8,409,949.00",N/A
Austria,2010,49.6,N/A,N/A,N/A,Europe,OECD,"$43,096.00 ","8,409,949.00",N/A
Austria,2010,30.25,1.11,4.77,21.26,Europe,OECD,"$43,096.00 ","8,409,945.00",N/A
Austria,2011,27.4,0.97,4.14,22.8,Europe,OECD,"$44,127.00 ","8,453,501.00",N/A
Austria,2011,28.1,N/A,N/A,N/A,Europe,OECD,"$44,094.00 ","8,459,864.00",N/A
Austria,2011,32.9,N/A,N/A,N/A,Europe,OECD,"$44,094.00 ","8,459,864.00",N/A
Austria,2011,49.5,N/A,N/A,N/A,Europe,OECD,"$44,094.00 ","8,459,864.00",N/A
Austria,2011,30.8,1.13,4.93,20.91,Europe,OECD,"$44,127.00 ","8,453,501.00",N/A
Austria,2012,27.6,0.97,4.2,22.8,Europe,OECD,"$44,173.00 ","8,502,230.00",N/A
Austria,2012,27.5,N/A,N/A,N/A,Europe,OECD,"$44,094.00 ","8,517,548.00",N/A
Austria,2012,32.3,N/A,N/A,N/A,Europe,OECD,"$44,094.00 ","8,517,548.00",N/A
Austria,2012,49.4,N/A,N/A,N/A,Europe,OECD,"$44,094.00 ","8,517,548.00",N/A
Austria,2012,30.48,1.11,4.92,21.09,Europe,OECD,"$44,173.00 ","8,502,230.00",N/A
Austria,2013,31.1,1.17,4.86,21.03,Europe,OECD,"$43,906.00 ","8,556,191.00",N/A
Austria,2013,28,1,4.24,22.62,Europe,OECD,"$43,906.00 ","8,556,191.00",N/A
Austria,2013,27,0.94,4.13,23.1,Europe,OECD,"$43,906.00 ","8,556,191.00",N/A
Austria,2013,27.9,N/A,N/A,N/A,Europe,OECD,"$43,795.00 ","8,577,782.00",N/A
Austria,2013,32.3,N/A,N/A,N/A,Europe,OECD,"$43,795.00 ","8,577,782.00",N/A
Austria,2013,49.6,N/A,N/A,N/A,Europe,OECD,"$43,795.00 ","8,577,782.00",N/A
Austria,2013,30.75,1.14,4.8,21.18,Europe,OECD,"$43,906.00 ","8,556,191.00",N/A
Austria,2014,27.6,0.98,4.13,23,Europe,OECD,"$43,893.00 ","8,615,205.00",N/A
Austria,2014,27.4,N/A,N/A,N/A,Europe,OECD,"$43,802.00 ","8,633,220.00",N/A
Austria,2014,31.8,N/A,N/A,N/A,Europe,OECD,"$43,802.00 ","8,633,220.00",N/A
Austria,2014,49.3,N/A,N/A,N/A,Europe,OECD,"$43,802.00 ","8,633,220.00",N/A
Austria,2014,30.53,1.13,4.81,21.2,Europe,OECD,"$43,893.00 ","8,615,205.00",N/A
Austria,2015,27.2,0.97,4.03,23.1,Europe,OECD,"$44,070.00 ","8,678,667.00",N/A
Austria,2015,27.6,N/A,N/A,N/A,Europe,OECD,"$44,070.00 ","8,678,657.00",N/A
Austria,2015,32.4,N/A,N/A,N/A,Europe,OECD,"$44,070.00 ","8,678,657.00",N/A
Austria,2015,49.5,N/A,N/A,N/A,Europe,OECD,"$44,070.00 ","8,678,657.00",N/A
Austria,2015,30.53,1.13,4.87,21.08,Europe,OECD,"$44,070.00 ","8,678,667.00",N/A
Austria,2016,27.2,0.96,4.09,23,Europe,OECD,"$44,616.00 ","8,747,306.00",N/A
Austria,2016,28.4,1,4.47,22.25,Europe,OECD,"$44,616.00 ","8,747,306.00",N/A
Austria,2017,27.9,0.99,4.31,22.7,Europe,OECD,"$45,378.00 ","8,819,902.00",N/A
Austria,2018,26.8,0.93,4.03,23.2,Europe,OECD,"$46,241.00 ","8,891,383.00",N/A
Azerbaijan,2015,N/A,0.55,2.1,30.55,Asia,Non-OECD,"$16,876.00 ","9,622,741.00",N/A
Azerbaijan,2015,N/A,0.52,2,31.16,Asia,Non-OECD,"$16,876.00 ","9,622,741.00",N/A
Azerbaijan,2018,N/A,0.66,2.57,28.03,Asia,Non-OECD,"$15,999.00 ","9,949,537.00",N/A
Azerbaijan,2018,N/A,0.59,2.26,29.6,Asia,Non-OECD,"$15,999.00 ","9,949,537.00",N/A
"Bahamas, The",2013,41.4,1.97,8.07,15.9,Americas,Non-OECD,"$29,664.00 ","367,162.00",N/A
Bahrain,2015,59.6,N/A,N/A,N/A,Asia,Non-OECD,"$43,927.00 ","1,371,853.00",N/A
Bangladesh,2010,45.8,2.5,9.92,14.32,Asia,Non-OECD,"$2,443.00 ","152,149,102.00",N/A
Bangladesh,2010,43.1,2.16,8.58,15.68,Asia,Non-OECD,"$2,443.00 ","152,149,102.00",N/A
Bangladesh,2010,45.2,2.48,10.03,14.03,Asia,Non-OECD,"$2,443.00 ","152,149,102.00",N/A
Bangladesh,2010,32.13,1.26,4.69,21.31,Asia,Non-OECD,"$2,518.00 ","147,575,440.00",N/A
Bangladesh,2016,48.3,2.93,13.8,13.01,Asia,Non-OECD,"$3,424.00 ","157,977,152.00",N/A
Bangladesh,2016,45.4,2.51,12.4,13.86,Asia,Non-OECD,"$3,424.00 ","157,977,152.00",N/A
Bangladesh,2016,49.8,3.11,13.19,13.32,Asia,Non-OECD,"$3,424.00 ","157,977,152.00",N/A
Bangladesh,2016,32.39,1.27,4.8,21.08,Asia,Non-OECD,"$3,424.00 ","157,977,152.00",N/A
Barbados,2010,47,3.07,12.77,13,Americas,Non-OECD,"$16,425.00 ","279,569.00",N/A
Barbados,2010,43,N/A,N/A,N/A,Americas,Non-OECD,"$16,276.00 ","282,131.00",N/A
Barbados,2017,32,N/A,N/A,N/A,Americas,Non-OECD,"$16,839.00 ","286,229.00",N/A
Belarus,2010,28.57,1.03,4.25,22.24,Europe,Non-OECD,"$16,381.00 ","9,420,576.00",N/A
Belarus,2011,27.15,0.95,3.97,23.01,Europe,Non-OECD,"$17,272.00 ","9,415,316.00",N/A
Belarus,2012,26.53,0.93,3.81,23.47,Europe,Non-OECD,"$17,560.00 ","9,417,045.00",N/A
Belarus,2013,26.58,0.94,3.8,23.57,Europe,Non-OECD,"$17,724.00 ","9,423,502.00",N/A
Belarus,2014,27.18,0.97,3.93,23.3,Europe,Non-OECD,"$18,015.00 ","9,431,742.00",N/A
Belarus,2015,25.63,0.88,3.65,23.98,Europe,Non-OECD,"$17,311.00 ","9,439,424.00",N/A
Belarus,2016,25.31,0.87,3.58,24.32,Europe,Non-OECD,"$16,862.00 ","9,445,638.00",N/A
Belarus,2017,25.44,0.88,3.58,24.17,Europe,Non-OECD,"$17,281.00 ","9,450,233.00",N/A
Belgium,2010,26.6,0.92,3.9,23.2,Europe,OECD,"$40,924.00 ","10,938,735.00",N/A
Belgium,2010,26.7,N/A,N/A,N/A,Europe,OECD,"$40,924.00 ","10,938,739.00",N/A
Belgium,2010,31.8,N/A,N/A,N/A,Europe,OECD,"$40,924.00 ","10,938,739.00",N/A
Belgium,2010,48.3,N/A,N/A,N/A,Europe,OECD,"$40,924.00 ","10,938,739.00",N/A
Belgium,2010,28.37,1.01,4.34,22.5,Europe,OECD,"$40,924.00 ","10,938,735.00",N/A
Belgium,2011,26.3,0.91,3.87,23.2,Europe,OECD,"$41,376.00 ","11,013,860.00",N/A
Belgium,2011,27,N/A,N/A,N/A,Europe,OECD,"$41,379.00 ","11,013,083.00",N/A
Belgium,2011,31.7,N/A,N/A,N/A,Europe,OECD,"$41,379.00 ","11,013,083.00",N/A
Belgium,2011,48.6,N/A,N/A,N/A,Europe,OECD,"$41,379.00 ","11,013,083.00",N/A
Belgium,2011,28.06,0.99,4.3,22.52,Europe,OECD,"$41,376.00 ","11,013,860.00",N/A
Belgium,2012,26.5,0.91,3.96,23,Europe,OECD,"$41,205.00 ","11,085,355.00",N/A
Belgium,2012,26.5,N/A,N/A,N/A,Europe,OECD,"$41,212.00 ","11,083,550.00",N/A
Belgium,2012,31.1,N/A,N/A,N/A,Europe,OECD,"$41,212.00 ","11,083,550.00",N/A
Belgium,2012,48.5,N/A,N/A,N/A,Europe,OECD,"$41,212.00 ","11,083,550.00",N/A
Belgium,2012,27.49,0.96,4.19,22.84,Europe,OECD,"$41,205.00 ","11,085,355.00",N/A
Belgium,2013,25.9,0.89,3.84,23.3,Europe,OECD,"$41,034.00 ","11,154,008.00",N/A
Belgium,2013,26.5,N/A,N/A,N/A,Europe,OECD,"$41,043.00 ","11,151,512.00",N/A
Belgium,2013,31.5,N/A,N/A,N/A,Europe,OECD,"$41,043.00 ","11,151,512.00",N/A
Belgium,2013,49.2,N/A,N/A,N/A,Europe,OECD,"$41,043.00 ","11,151,512.00",N/A
Belgium,2013,27.67,0.96,4.25,22.63,Europe,OECD,"$41,034.00 ","11,154,008.00",N/A
Belgium,2014,25.9,0.88,3.82,23.2,Europe,OECD,"$41,300.00 ","11,221,225.00",N/A
Belgium,2014,26.6,N/A,N/A,N/A,Europe,OECD,"$41,307.00 ","11,219,161.00",N/A
Belgium,2014,31.6,N/A,N/A,N/A,Europe,OECD,"$41,307.00 ","11,219,161.00",N/A
Belgium,2014,49.5,N/A,N/A,N/A,Europe,OECD,"$41,307.00 ","11,219,161.00",N/A
Belgium,2014,28.13,1,4.28,22.5,Europe,OECD,"$41,300.00 ","11,221,225.00",N/A
Belgium,2015,26.2,0.9,3.83,23.2,Europe,OECD,"$41,770.00 ","11,287,931.00",N/A
Belgium,2015,26.8,N/A,N/A,N/A,Europe,OECD,"$41,770.00 ","11,287,940.00",N/A
Belgium,2015,31.4,N/A,N/A,N/A,Europe,OECD,"$41,770.00 ","11,287,940.00",N/A
Belgium,2015,50,N/A,N/A,N/A,Europe,OECD,"$41,770.00 ","11,287,940.00",N/A
Belgium,2015,27.73,0.98,4.24,22.65,Europe,OECD,"$41,770.00 ","11,287,931.00",N/A
Belgium,2016,26.3,0.9,3.86,23,Europe,OECD,"$42,129.00 ","11,354,407.00",N/A
Belgium,2016,26.6,0.92,3.93,22.85,Europe,OECD,"$42,129.00 ","11,354,407.00",N/A
Belgium,2017,26,0.89,3.84,23.2,Europe,OECD,"$42,614.00 ","11,419,752.00",N/A
Belgium,2018,25.6,0.88,3.79,23.4,Europe,OECD,"$42,992.00 ","11,482,180.00",N/A
Benin,2012,43.44,2.2,8.37,15.7,Africa,Non-OECD,"$1,856.00 ","9,729,254.00",N/A
Benin,2015,47.76,2.92,16.09,12.87,Africa,Non-OECD,"$1,987.00 ","10,575,962.00",N/A
Bhutan,2012,38.81,1.76,6.84,17.51,Asia,Non-OECD,"$7,548.00 ","701,582.00",N/A
Bhutan,2017,37.44,1.6,6.64,17.47,Asia,Non-OECD,"$9,247.00 ","745,563.00",N/A
Bolivia,2011,46.1,2.59,13.32,13,Americas,Non-OECD,"$5,599.00 ","10,078,343.00",N/A
Bolivia,2011,43.9,2.31,11.83,13.8,Americas,Non-OECD,"$5,599.00 ","10,078,343.00",N/A
Bolivia,2011,47.1,2.77,14.66,12.4,Americas,Non-OECD,"$5,525.00 ","10,212,951.00",N/A
Bolivia,2011,46.08,2.6,13.42,12.96,Americas,Non-OECD,"$5,525.00 ","10,212,951.00",N/A
Bolivia,2012,46.5,2.7,14.91,12.5,Americas,Non-OECD,"$5,793.00 ","10,239,004.00",N/A
Bolivia,2012,44.5,2.41,13.19,13.3,Americas,Non-OECD,"$5,793.00 ","10,239,004.00",N/A
Bolivia,2012,47.4,2.86,16.03,12,Americas,Non-OECD,"$5,716.00 ","10,377,677.00",N/A
Bolivia,2012,46.58,2.7,14.68,12.45,Americas,Non-OECD,"$5,716.00 ","10,377,677.00",N/A
Bolivia,2013,47.6,2.84,14.42,12.4,Americas,Non-OECD,"$6,091.00 ","10,400,264.00",N/A
Bolivia,2013,45.6,2.56,13.18,13.1,Americas,Non-OECD,"$6,091.00 ","10,400,264.00",N/A
Bolivia,2013,48,2.94,15.32,11.9,Americas,Non-OECD,"$6,009.00 ","10,542,375.00",N/A
Bolivia,2013,47.59,2.85,14.55,12.34,Americas,Non-OECD,"$6,009.00 ","10,542,375.00",N/A
Bolivia,2014,47.8,2.88,14.14,12.5,Americas,Non-OECD,"$6,325.00 ","10,562,159.00",N/A
Bolivia,2014,45.6,2.55,12.58,13.4,Americas,Non-OECD,"$6,325.00 ","10,562,159.00",N/A
Bolivia,2014,47.1,2.78,14.28,12.4,Americas,Non-OECD,"$6,240.00 ","10,706,517.00",N/A
Bolivia,2014,47.83,2.87,13.92,12.58,Americas,Non-OECD,"$6,240.00 ","10,706,517.00",N/A
Bolivia,2015,46.7,2.7,13.13,12.9,Americas,Non-OECD,"$6,532.00 ","10,724,705.00",N/A
Bolivia,2015,44.5,2.39,11.69,13.8,Americas,Non-OECD,"$6,532.00 ","10,724,705.00",N/A
Bolivia,2015,45.4,2.5,12.77,13.1,Americas,Non-OECD,"$6,444.00 ","10,869,732.00",N/A
Bolivia,2015,46.73,2.7,13.18,12.9,Americas,Non-OECD,"$6,444.00 ","10,869,732.00",N/A
Bolivia,2016,44.6,2.4,12.56,13.4,Americas,Non-OECD,"$6,708.00 ","10,887,882.00",N/A
Bolivia,2016,42.2,2.1,11.39,14.3,Americas,Non-OECD,"$6,708.00 ","10,887,882.00",N/A
Bolivia,2016,46.6,2.71,15.3,12.3,Americas,Non-OECD,"$6,620.00 ","11,031,822.00",N/A
Bolivia,2016,44.64,2.4,12.69,13.36,Americas,Non-OECD,"$6,620.00 ","11,031,822.00",N/A
Bolivia,2017,44,2.33,11.83,13.6,Americas,Non-OECD,"$6,886.00 ","11,051,600.00",N/A
Bolivia,2017,41.8,2.06,10.81,14.5,Americas,Non-OECD,"$6,886.00 ","11,051,600.00",N/A
Bolivia,2017,46.1,2.66,14.31,12.4,Americas,Non-OECD,"$6,799.00 ","11,192,853.00",N/A
Bolivia,2017,44.02,2.32,11.87,13.64,Americas,Non-OECD,"$6,799.00 ","11,192,853.00",N/A
Bolivia,2018,43.8,2.28,12.07,13.7,Americas,Non-OECD,"$6,986.00 ","11,353,140.00",N/A
Bosnia and Herzegovina,2011,33.03,1.27,5.45,19.76,Europe,Non-OECD,"$9,976.00 ","3,661,173.00",N/A
Botswana,2010,49.5,N/A,N/A,N/A,Africa,Non-OECD,"$13,053.00 ","2,014,866.00",N/A
Botswana,2010,43.8,N/A,N/A,N/A,Africa,Non-OECD,"$13,053.00 ","2,014,866.00",N/A
Botswana,2010,51,N/A,N/A,N/A,Africa,Non-OECD,"$13,053.00 ","2,014,866.00",N/A
Botswana,2010,60.46,5.82,22.9,8.53,Africa,Non-OECD,"$13,235.00 ","1,987,106.00",N/A
Botswana,2016,53.33,3.79,14.81,10.95,Africa,Non-OECD,"$16,037.00 ","2,159,925.00",N/A
Brazil,2011,49.9,3.25,14.75,11.93,Americas,Non-OECD,"$15,062.00 ","197,514,544.00",N/A
Brazil,2011,46.9,2.72,12.15,13.33,Americas,Non-OECD,"$15,062.00 ","197,514,544.00",N/A
Brazil,2011,52.3,3.71,16.61,11.14,Americas,Non-OECD,"$15,062.00 ","197,514,544.00",N/A
Brazil,2011,49.5,3.13,13.68,12.47,Americas,Non-OECD,"$15,062.00 ","197,514,544.00",N/A
Brazil,2011,52.8,3.82,16.88,10.9,Americas,Non-OECD,"$14,973.00 ","198,686,688.00",N/A
Brazil,2011,51,3.39,14.36,11.9,Americas,Non-OECD,"$14,973.00 ","198,686,688.00",N/A
Brazil,2011,52.6,3.77,15.97,11.1,Americas,Non-OECD,"$15,062.00 ","197,514,544.00",N/A
Brazil,2011,48.3,N/A,N/A,N/A,Americas,Non-OECD,"$14,973.00 ","198,686,688.00",N/A
Brazil,2011,50.5,N/A,N/A,N/A,Americas,Non-OECD,"$14,973.00 ","198,686,688.00",N/A
Brazil,2011,57.9,N/A,N/A,N/A,Americas,Non-OECD,"$14,973.00 ","198,686,688.00",N/A
Brazil,2011,52.95,3.86,17.26,10.81,Americas,Non-OECD,"$15,062.00 ","197,514,544.00",N/A
Brazil,2012,52.5,3.74,16.31,11.1,Americas,Non-OECD,"$15,118.00 ","200,560,983.00",N/A
Brazil,2012,50.6,3.33,14.28,12.1,Americas,Non-OECD,"$15,118.00 ","200,560,983.00",N/A
Brazil,2012,52.3,3.62,15.43,11.5,Americas,Non-OECD,"$15,215.00 ","199,287,296.00",N/A
Brazil,2012,52.69,3.79,16.66,11.01,Americas,Non-OECD,"$15,215.00 ","199,287,296.00",N/A
Brazil,2013,49,3.08,13.8,12.37,Americas,Non-OECD,"$15,536.00 ","201,035,904.00",N/A
Brazil,2013,46,2.58,11.31,13.84,Americas,Non-OECD,"$15,536.00 ","201,035,904.00",N/A
Brazil,2013,51.3,3.48,15.41,11.62,Americas,Non-OECD,"$15,536.00 ","201,035,904.00",N/A
Brazil,2013,48.5,2.96,12.76,12.96,Americas,Non-OECD,"$15,536.00 ","201,035,904.00",N/A
Brazil,2013,52.6,3.78,16.85,11,Americas,Non-OECD,"$15,430.00 ","202,408,632.00",N/A
Brazil,2013,50.8,3.35,14.36,12.1,Americas,Non-OECD,"$15,430.00 ","202,408,632.00",N/A
Brazil,2013,52.2,3.7,16.29,11.2,Americas,Non-OECD,"$15,536.00 ","201,035,904.00",N/A
Brazil,2013,49.4,N/A,N/A,N/A,Americas,Non-OECD,"$15,430.00 ","202,408,632.00",N/A
Brazil,2013,57.5,N/A,N/A,N/A,Americas,Non-OECD,"$15,430.00 ","202,408,632.00",N/A
Brazil,2013,47,2.71,12.49,13.36,Americas,Non-OECD,"$15,536.00 ","201,035,904.00",N/A
Brazil,2013,52.77,3.82,17.04,10.92,Americas,Non-OECD,"$15,536.00 ","201,035,904.00",N/A
Brazil,2014,51.4,3.52,15.19,11.5,Americas,Non-OECD,"$15,371.00 ","204,213,133.00",N/A
Brazil,2014,49.6,3.16,13.41,12.5,Americas,Non-OECD,"$15,371.00 ","204,213,133.00",N/A
Brazil,2014,51.4,3.51,14.84,11.6,Americas,Non-OECD,"$15,481.00 ","202,763,744.00",N/A
Brazil,2014,51.47,3.53,15.34,11.5,Americas,Non-OECD,"$15,481.00 ","202,763,744.00",N/A
Brazil,2015,51.3,3.5,15.58,11.5,Americas,Non-OECD,"$14,700.00 ","205,962,108.00",N/A
Brazil,2015,49.5,3.14,13.37,12.5,Americas,Non-OECD,"$14,700.00 ","205,962,108.00",N/A
Brazil,2015,51.1,3.47,14.76,11.7,Americas,Non-OECD,"$14,807.00 ","204,471,760.00",N/A
Brazil,2015,51.32,3.51,15.5,11.5,Americas,Non-OECD,"$14,807.00 ","204,471,760.00",N/A
Brazil,2016,53.52,3.95,17.76,10.61,Americas,Non-OECD,"$14,200.00 ","206,163,056.00",N/A
Brazil,2016,51.94,3.56,15.56,11.5,Americas,Non-OECD,"$14,200.00 ","206,163,056.00",N/A
Brazil,2016,53.2,3.87,17.09,10.9,Americas,Non-OECD,"$14,200.00 ","206,163,056.00",N/A
Brazil,2016,53.67,4.03,18.27,10.52,Americas,Non-OECD,"$14,200.00 ","206,163,056.00",N/A
Brazil,2017,53.17,3.92,17.92,10.65,Americas,Non-OECD,"$14,236.00 ","207,833,824.00",N/A
Brazil,2017,51.6,3.55,15.74,11.52,Americas,Non-OECD,"$14,236.00 ","207,833,824.00",N/A
