Year (2010-2018),country,gini_index_reported,palma,ratio_top20bottom20,bottom40,region_un,OECD=Countries the support the free market,incomegroup,reference_period, gdp_ppp_pc_usd2011 , population 
2009,Angola,55,,19.67,10,Africa,Non-OECD,Lower middle income,Month,6283," 22,549,547.00 "
2009,Angola,43,,9.8,15,Africa,Non-OECD,Lower middle income,Month,6283," 22,549,547.00 "
2009,Angola,50,,13.75,12,Africa,Non-OECD,Lower middle income,Month,6283," 22,549,547.00 "
2009,Angola,38,,7.5,17,Africa,Non-OECD,Lower middle income,Month,6283," 22,549,547.00 "
2009,Angola,55,,19.67,10,Africa,Non-OECD,Lower middle income,Month,6283," 22,549,547.00 "
2009,Angola,39,,7.5,17,Africa,Non-OECD,Lower middle income,Month,6283," 22,549,547.00 "
2009,Angola,42.72,2.15,8.94,15.05,Africa,Non-OECD,Lower middle income,Year,6293," 22,514,276.00 "
1953,Argentina,40,2.05,6.77,18.1,Americas,Non-OECD,Upper middle income,Month,," 18,224,150.00 "
1953,Argentina,41.2,2.03,6.67,18.1,Americas,Non-OECD,Upper middle income,,," 18,224,150.00 "
1959,Argentina,44.7,2.61,8.06,16.2,Americas,Non-OECD,Upper middle income,Month,," 20,285,531.00 "
1959,Argentina,46.3,2.55,7.93,16.4,Americas,Non-OECD,Upper middle income,,," 20,285,531.00 "
1961,Argentina,41.9,2.25,7.41,17.3,Americas,Non-OECD,Upper middle income,Month,," 20,953,077.00 "
1961,Argentina,40.7,2.12,6.81,18.1,Americas,Non-OECD,Upper middle income,Month,," 20,953,077.00 "
1961,Argentina,50.8,3.11,9.39,14,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,42,2.05,6.86,17.4,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,47.7,2.66,10.5,14.8,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,43.8,2.23,7.38,16.6,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,49,2.83,10.57,14.4,Americas,Non-OECD,Upper middle income,Year,," 20,953,077.00 "
1961,Argentina,53.1,3.37,11.12,13.4,Americas,Non-OECD,Upper middle income,Year,," 20,953,077.00 "
1961,Argentina,42.3,,,,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,42.5,,,,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,47.8,,,,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,42,,7.36,17.4,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1961,Argentina,43.4,2.24,7.37,17.4,Americas,Non-OECD,Upper middle income,,," 20,953,077.00 "
1963,Argentina,37.3,1.71,6.72,17.8,Americas,Non-OECD,Upper middle income,Month,," 21,621,840.00 "
1963,Argentina,35.8,1.57,6.21,18.8,Americas,Non-OECD,Upper middle income,Month,," 21,621,840.00 "
1963,Argentina,38.5,1.71,6.72,17.6,Americas,Non-OECD,Upper middle income,,," 21,621,840.00 "
1965,Argentina,35.3,1.49,6.67,18.1,Americas,Non-OECD,Upper middle income,Month,," 22,283,390.00 "
1969,Argentina,37.3,1.69,7.24,17.3,Americas,Non-OECD,Upper middle income,Month,," 23,605,987.00 "
1970,Argentina,36.1,1.53,6.89,18,Americas,Non-OECD,Upper middle income,Month,," 23,973,058.00 "
1970,Argentina,41.1,1.95,8.39,16.2,Americas,Non-OECD,Upper middle income,,," 23,973,058.00 "
1972,Argentina,35.3,1.51,6.83,18.3,Americas,Non-OECD,Upper middle income,Month,," 24,782,949.00 "
1972,Argentina,33.4,1.37,6.06,19.4,Americas,Non-OECD,Upper middle income,Month,," 24,782,949.00 "
1974,Argentina,34.5,1.38,5.81,19.1,Americas,Non-OECD,Upper middle income,,," 25,644,506.00 "
1974,Argentina,32.2,1.23,5.15,20.4,Americas,Non-OECD,Upper middle income,,," 25,644,506.00 "
1974,Argentina,36,1.55,7.2,17.5,Americas,Non-OECD,Upper middle income,Month,," 25,644,506.00 "
1974,Argentina,34.4,,,,Americas,Non-OECD,Upper middle income,,," 25,644,506.00 "
1975,Argentina,36.1,1.54,7.27,17.3,Americas,Non-OECD,Upper middle income,Month,," 26,066,975.00 "
1975,Argentina,34.7,,,,Americas,Non-OECD,Upper middle income,,," 26,066,975.00 "
1976,Argentina,35.2,,,,Americas,Non-OECD,Upper middle income,,," 26,477,152.00 "
1977,Argentina,40.3,,,,Americas,Non-OECD,Upper middle income,,," 26,878,565.00 "
1978,Argentina,43.4,,,,Americas,Non-OECD,Upper middle income,,," 27,277,741.00 "
1979,Argentina,41.3,,,,Americas,Non-OECD,Upper middle income,,," 27,684,534.00 "
1980,Argentina,39.3,1.78,7.75,16.4,Americas,Non-OECD,Upper middle income,Year,," 28,105,888.00 "
1980,Argentina,37.6,1.61,6.86,17.6,Americas,Non-OECD,Upper middle income,,," 28,105,888.00 "
1980,Argentina,41.6,2.13,9.56,14.5,Americas,Non-OECD,Upper middle income,Month,," 28,105,888.00 "
1980,Argentina,40.83,1.95,8.78,15.49,Americas,Non-OECD,Upper middle income,Year,," 27,896,532.00 "
1980,Argentina,40.5,,,,Americas,Non-OECD,Upper middle income,,," 28,105,888.00 "
1980,Argentina,40.8,1.92,8.79,15.6,Americas,Non-OECD,Upper middle income,Month,," 28,105,888.00 "
1981,Argentina,42.7,2.29,9.56,14.6,Americas,Non-OECD,Upper middle income,Month,," 28,543,364.00 "
1981,Argentina,42.8,,,,Americas,Non-OECD,Upper middle income,,," 28,543,364.00 "
1982,Argentina,40.2,,,,Americas,Non-OECD,Upper middle income,,," 28,993,987.00 "
1983,Argentina,40.4,,,,Americas,Non-OECD,Upper middle income,,," 29,454,738.00 "
1985,Argentina,39.8,,,,Americas,Non-OECD,Upper middle income,,," 30,388,783.00 "
1986,Argentina,42.2,2.08,8.76,15.4,Americas,Non-OECD,Upper middle income,Year,," 30,857,244.00 "
1986,Argentina,40.5,1.89,7.88,16.5,Americas,Non-OECD,Upper middle income,,," 30,857,244.00 "
1986,Argentina,42.79,2.18,9.48,14.9,Americas,Non-OECD,Upper middle income,Year,," 30,698,964.00 "
1987,Argentina,44.8,2.4,10.5,14.2,Americas,Non-OECD,Upper middle income,Year,," 31,326,473.00 "
1987,Argentina,43.1,2.17,9.09,15.2,Americas,Non-OECD,Upper middle income,,," 31,326,473.00 "
1987,Argentina,45.28,2.5,10.95,13.79,Americas,Non-OECD,Upper middle income,Year,," 31,184,410.00 "
1987,Argentina,43.3,,,,Americas,Non-OECD,Upper middle income,,," 31,326,473.00 "
1988,Argentina,45.5,2.51,11.5,13.5,Americas,Non-OECD,Upper middle income,Year,," 31,795,517.00 "
1988,Argentina,43.7,2.27,9.88,14.5,Americas,Non-OECD,Upper middle income,,," 31,795,517.00 "
1988,Argentina,45.2,,,,Americas,Non-OECD,Upper middle income,,," 31,795,517.00 "
1989,Argentina,47.6,2.83,12.83,12.7,Americas,Non-OECD,Upper middle income,Month,," 32,263,561.00 "
1990,Argentina,50.1,3.18,13.1,12.4,Americas,Non-OECD,Upper middle income,,11334," 32,729,739.00 "
1990,Argentina,43.1,2.39,8.91,14.8,Americas,Non-OECD,Upper middle income,,11334," 32,729,739.00 "
1991,Argentina,46.5,2.61,10.69,14,Americas,Non-OECD,Upper middle income,Year,12196," 33,193,918.00 "
1991,Argentina,44.2,2.3,9.22,15.2,Americas,Non-OECD,Upper middle income,,12196," 33,193,918.00 "
1991,Argentina,46.76,2.64,10.9,13.88,Americas,Non-OECD,Upper middle income,Year,12239," 33,079,004.00 "
1991,Argentina,44.1,2.49,9.05,14.6,Americas,Non-OECD,Upper middle income,,12196," 33,193,918.00 "
1992,Argentina,44.4,2.36,10.06,14.3,Americas,Non-OECD,Upper middle income,,12984," 33,655,151.00 "
1992,Argentina,42.4,2.1,8.71,15.4,Americas,Non-OECD,Upper middle income,,12984," 33,655,151.00 "
1992,Argentina,45,2.44,10.54,14,Americas,Non-OECD,Upper middle income,Year,12984," 33,655,151.00 "
1992,Argentina,42.9,2.18,9.09,15,Americas,Non-OECD,Upper middle income,,12984," 33,655,151.00 "
1992,Argentina,48.2,2.86,12.14,13,Americas,Non-OECD,Upper middle income,,12984," 33,655,151.00 "
1992,Argentina,45.47,2.48,11.06,13.8,Americas,Non-OECD,Upper middle income,Year,13033," 33,529,320.00 "
1992,Argentina,43.6,2.42,10.31,14.2,Americas,Non-OECD,Upper middle income,,12984," 33,655,151.00 "
1993,Argentina,44.4,2.36,10.55,14,Americas,Non-OECD,Upper middle income,Year,13862," 34,110,917.00 "
1993,Argentina,42.3,2.11,9.25,15.1,Americas,Non-OECD,Upper middle income,,13862," 34,110,917.00 "
1993,Argentina,44.86,2.41,11.21,13.77,Americas,Non-OECD,Upper middle income,Year,13919," 33,970,100.00 "
1994,Argentina,45.3,2.5,11,13.7,Americas,Non-OECD,Upper middle income,Year,14481," 34,558,115.00 "
1994,Argentina,43.1,2.19,9.25,15,Americas,Non-OECD,Upper middle income,,14481," 34,558,115.00 "
1994,Argentina,51.5,3.47,14.84,11.6,Americas,Non-OECD,Upper middle income,,14481," 34,558,115.00 "
1994,Argentina,45.92,2.57,11.63,13.4,Americas,Non-OECD,Upper middle income,Year,14547," 34,402,668.00 "
1994,Argentina,43.8,2.43,10.56,14.3,Americas,Non-OECD,Upper middle income,,14481," 34,558,115.00 "
1995,Argentina,48.1,2.91,13.02,12.6,Americas,Non-OECD,Upper middle income,Year,13894," 34,994,814.00 "
1995,Argentina,46,2.58,11.24,13.7,Americas,Non-OECD,Upper middle income,,13894," 34,994,814.00 "
1995,Argentina,48.9,3.03,14.31,12.18,Americas,Non-OECD,Upper middle income,Year,13960," 34,828,168.00 "
1995,Argentina,46.3,2.83,11.98,13.2,Americas,Non-OECD,Upper middle income,,13894," 34,994,814.00 "
1996,Argentina,48.6,2.97,13.35,12.3,Americas,Non-OECD,Upper middle income,Year,14486," 35,419,682.00 "
1996,Argentina,46.3,2.61,11.49,13.4,Americas,Non-OECD,Upper middle income,,14486," 35,419,682.00 "
1996,Argentina,49.52,3.15,15.33,11.72,Americas,Non-OECD,Upper middle income,Year,14557," 35,246,376.00 "
1996,Argentina,45.8,2.75,12.16,13.2,Americas,Non-OECD,Upper middle income,,14486," 35,419,682.00 "
1996,Argentina,47.7,,,,Americas,Non-OECD,Upper middle income,,14486," 35,419,682.00 "
1997,Argentina,48.3,2.96,13.67,12.2,Americas,Non-OECD,Upper middle income,Year,15479," 35,833,969.00 "
1997,Argentina,46.1,2.57,11.42,13.4,Americas,Non-OECD,Upper middle income,,15479," 35,833,969.00 "
1997,Argentina,53,3.78,16.06,11,Americas,Non-OECD,Upper middle income,,15479," 35,833,969.00 "
1997,Argentina,49.11,3.09,15.11,11.75,Americas,Non-OECD,Upper middle income,Year,15556," 35,657,436.00 "
1997,Argentina,44.8,2.6,11.64,13.6,Americas,Non-OECD,Upper middle income,,15479," 35,833,969.00 "
1998,Argentina,50.2,3.25,14.81,11.6,Americas,Non-OECD,Upper middle income,Year,15895," 36,241,590.00 "
1998,Argentina,48,2.85,12.64,12.7,Americas,Non-OECD,Upper middle income,,15895," 36,241,590.00 "
1998,Argentina,50.1,3.26,14.78,11.6,Americas,Non-OECD,Upper middle income,Year,15895," 36,241,590.00 "
1998,Argentina,47.8,2.85,12.6,12.7,Americas,Non-OECD,Upper middle income,,15895," 36,241,590.00 "
1998,Argentina,50.73,3.39,16.15,11.21,Americas,Non-OECD,Upper middle income,Year,15973," 36,063,448.00 "
1998,Argentina,46.7,2.88,12.62,12.8,Americas,Non-OECD,Upper middle income,,15895," 36,241,590.00 "
1998,Argentina,49.4,,,,Americas,Non-OECD,Upper middle income,,15895," 36,241,590.00 "
1999,Argentina,49.1,3.08,14.13,11.9,Americas,Non-OECD,Upper middle income,Year,15186," 36,648,068.00 "
1999,Argentina,46.8,2.69,12.09,13.1,Americas,Non-OECD,Upper middle income,,15186," 36,648,068.00 "
1999,Argentina,53.9,3.96,17.18,10.8,Americas,Non-OECD,Upper middle income,,15186," 36,648,068.00 "
1999,Argentina,49.79,3.23,15.52,11.48,Americas,Non-OECD,Upper middle income,Year,15261," 36,467,220.00 "
2000,Argentina,50.4,3.34,15.66,11.2,Americas,Non-OECD,Upper middle income,Year,14900," 37,057,452.00 "
2000,Argentina,48.2,2.96,13.64,12.2,Americas,Non-OECD,Upper middle income,,14900," 37,057,452.00 "
2000,Argentina,54.4,4.2,18.38,10.2,Americas,Non-OECD,Upper middle income,,14900," 37,057,452.00 "
2000,Argentina,48.7,2.94,17.23,12.5,Americas,Non-OECD,Upper middle income,,14975," 36,870,796.00 "
2000,Argentina,51.06,3.5,17.29,10.77,Americas,Non-OECD,Upper middle income,Year,14975," 36,870,796.00 "
2001,Argentina,52.2,3.78,18.16,10.3,Americas,Non-OECD,Upper middle income,Year,14086," 37,471,509.00 "
2001,Argentina,50.1,3.3,15.63,11.4,Americas,Non-OECD,Upper middle income,,14086," 37,471,509.00 "
2001,Argentina,50.5,3.31,22.67,11.4,Americas,Non-OECD,Upper middle income,,14160," 37,275,644.00 "
2001,Argentina,53.34,4.08,22.09,9.67,Americas,Non-OECD,Upper middle income,Year,14160," 37,275,644.00 "
2002,Argentina,53.3,3.99,19.17,10.1,Americas,Non-OECD,Upper middle income,Year,12413," 37,889,370.00 "
2002,Argentina,51.2,3.51,16.44,11.1,Americas,Non-OECD,Upper middle income,,12413," 37,889,370.00 "
2002,Argentina,49.8,3.37,21.48,11.1,Americas,Non-OECD,Upper middle income,,12481," 37,681,744.00 "
2002,Argentina,53.79,4.17,20.93,9.71,Americas,Non-OECD,Upper middle income,Year,12481," 37,681,744.00 "
2003,Argentina,52.8,3.89,17.81,10.2,Americas,Non-OECD,Upper middle income,Year,13361," 38,309,379.00 "
2003,Argentina,50.6,3.4,14.97,11.3,Americas,Non-OECD,Upper middle income,,13361," 38,309,379.00 "
2003,Argentina,50.5,3.39,16.61,10.9,Americas,Non-OECD,Upper middle income,,13439," 38,087,868.00 "
2003,Argentina,48.13,2.93,14.07,12.06,Americas,Non-OECD,Upper middle income,,13439," 38,087,868.00 "
2003,Argentina,46.7,2.61,12.98,14,Americas,Non-OECD,Upper middle income,,13439," 38,087,868.00 "
2003,Argentina,51.2,3.53,17.26,10.71,Americas,Non-OECD,Upper middle income,Year,13439," 38,087,868.00 "
2004,Argentina,48.11,2.97,14.71,11.68,Americas,Non-OECD,Upper middle income,,14499," 38,491,968.00 "
2004,Argentina,45.66,2.55,12.33,12.91,Americas,Non-OECD,Upper middle income,,14499," 38,491,968.00 "
2004,Argentina,43.8,2.24,11.02,14.9,Americas,Non-OECD,Upper middle income,,14499," 38,491,968.00 "
2004,Argentina,48.59,3.05,15.09,11.59,Americas,Non-OECD,Upper middle income,Year,14499," 38,491,968.00 "
2005,Argentina,47.53,2.86,13.95,12.08,Americas,Non-OECD,Upper middle income,,15619," 38,892,924.00 "
2005,Argentina,45.17,2.48,11.79,13.29,Americas,Non-OECD,Upper middle income,,15619," 38,892,924.00 "
2005,Argentina,42.9,2.12,9.61,15.5,Americas,Non-OECD,Upper middle income,,15619," 38,892,924.00 "
2005,Argentina,47.95,2.93,14.29,11.96,Americas,Non-OECD,Upper middle income,Year,15619," 38,892,924.00 "
2006,Argentina,46.51,2.7,13.36,12.44,Americas,Non-OECD,Upper middle income,,16706," 39,289,876.00 "
2006,Argentina,44.13,2.33,11.34,13.68,Americas,Non-OECD,Upper middle income,,16706," 39,289,876.00 "
2006,Argentina,44.3,2.3,9.86,14.8,Americas,Non-OECD,Upper middle income,,16706," 39,289,876.00 "
2006,Argentina,46.71,2.73,13.59,12.39,Americas,Non-OECD,Upper middle income,Year,16706," 39,289,876.00 "
2007,Argentina,46.14,2.64,12.78,12.63,Americas,Non-OECD,Upper middle income,,18030," 39,684,304.00 "
2007,Argentina,43.78,2.29,10.81,13.89,Americas,Non-OECD,Upper middle income,,18030," 39,684,304.00 "
2007,Argentina,43.7,2.26,9.52,14.8,Americas,Non-OECD,Upper middle income,,18030," 39,684,304.00 "
2007,Argentina,46.58,2.71,13.06,12.47,Americas,Non-OECD,Upper middle income,Year,18030," 39,684,304.00 "
2008,Argentina,44.4,2.38,11.9,13.28,Americas,Non-OECD,Upper middle income,,18576," 40,080,160.00 "
2008,Argentina,41.94,2.05,10.04,14.63,Americas,Non-OECD,Upper middle income,,18576," 40,080,160.00 "
2008,Argentina,41.3,1.96,8.37,15.9,Americas,Non-OECD,Upper middle income,,18576," 40,080,160.00 "
2008,Argentina,45.3,2.5,12.46,13.01,Americas,Non-OECD,Upper middle income,Year,18576," 40,080,160.00 "
2009,Argentina,43.81,2.31,11.73,13.47,Americas,Non-OECD,Upper middle income,,17303," 40,482,784.00 "
2009,Argentina,41.34,1.99,9.96,14.77,Americas,Non-OECD,Upper middle income,,17303," 40,482,784.00 "
2009,Argentina,41.3,1.95,8.5,15.8,Americas,Non-OECD,Upper middle income,,17303," 40,482,784.00 "
2009,Argentina,44.14,2.34,11.86,13.4,Americas,Non-OECD,Upper middle income,Year,17303," 40,482,784.00 "
2009,Argentina,44.7,,,,Americas,Non-OECD,Upper middle income,,17168," 40,799,407.00 "
2009,Argentina,48.9,,,,Americas,Non-OECD,Upper middle income,,17168," 40,799,407.00 "
2010,Argentina,42.91,2.18,10.26,14.21,Americas,Non-OECD,Upper middle income,," $18,862.00 "," 40,895,752.00 "
2010,Argentina,40.27,1.87,8.69,15.62,Americas,Non-OECD,Upper middle income,," $18,862.00 "," 40,895,752.00 "
2010,Argentina,41.2,1.93,8.17,16.1,Americas,Non-OECD,Upper middle income,," $18,862.00 "," 40,895,752.00 "
2010,Argentina,44.46,2.39,11.83,13.37,Americas,Non-OECD,Upper middle income,Year," $18,862.00 "," 40,895,752.00 "
2011,Argentina,42.23,2.1,9.79,14.57,Americas,Non-OECD,Upper middle income,," $19,789.00 "," 41,320,496.00 "
2011,Argentina,39.48,1.79,8.29,16.02,Americas,Non-OECD,Upper middle income,," $19,789.00 "," 41,320,496.00 "
2011,Argentina,40.6,1.84,8,16.7,Americas,Non-OECD,Upper middle income,," $19,789.00 "," 41,320,496.00 "
2011,Argentina,42.74,2.16,10.01,14.37,Americas,Non-OECD,Upper middle income,Year," $19,789.00 "," 41,320,496.00 "
2012,Argentina,41.19,1.97,9.31,14.9,Americas,Non-OECD,Upper middle income,," $19,382.00 "," 41,755,188.00 "
2012,Argentina,38.4,1.69,7.86,16.41,Americas,Non-OECD,Upper middle income,," $19,382.00 "," 41,755,188.00 "
2012,Argentina,38.9,1.71,7.31,16.8,Americas,Non-OECD,Upper middle income,," $19,382.00 "," 41,755,188.00 "
2012,Argentina,41.38,1.99,9.34,14.89,Americas,Non-OECD,Upper middle income,Year," $19,382.00 "," 41,755,188.00 "
2013,Argentina,40.87,1.95,9.07,15.04,Americas,Non-OECD,Upper middle income,," $19,641.00 "," 42,196,036.00 "
2013,Argentina,38.03,1.66,7.63,16.59,Americas,Non-OECD,Upper middle income,," $19,641.00 "," 42,196,036.00 "
2013,Argentina,38.9,1.7,7.29,16.8,Americas,Non-OECD,Upper middle income,," $19,641.00 "," 42,196,036.00 "
2013,Argentina,41.01,1.96,9.19,14.98,Americas,Non-OECD,Upper middle income,Year," $19,641.00 "," 42,196,036.00 "
2014,Argentina,41.32,1.98,9.08,14.9,Americas,Non-OECD,Upper middle income,," $18,949.00 "," 42,637,508.00 "
2014,Argentina,38.33,1.68,7.6,16.53,Americas,Non-OECD,Upper middle income,," $18,949.00 "," 42,637,508.00 "
2014,Argentina,39.1,1.75,7.25,16.8,Americas,Non-OECD,Upper middle income,," $18,949.00 "," 42,637,508.00 "
2014,Argentina,41.7,2.03,9.28,14.76,Americas,Non-OECD,Upper middle income,Year," $18,949.00 "," 42,637,508.00 "
2015,Argentina,40.53,1.9,8.74,15.24,Americas,Non-OECD,Upper middle income,," $19,269.00 "," 43,075,416.00 "
2015,Argentina,37.48,1.6,7.3,16.87,Americas,Non-OECD,Upper middle income,," $19,269.00 "," 43,075,416.00 "
2016,Argentina,42.35,2.11,9.5,14.66,Americas,Non-OECD,Upper middle income,," $18,680.00 "," 43,508,460.00 "
2016,Argentina,39.41,1.79,7.93,16.28,Americas,Non-OECD,Upper middle income,," $18,680.00 "," 43,508,460.00 "
2016,Argentina,39.3,1.78,7.45,17,Americas,Non-OECD,Upper middle income,," $18,680.00 "," 43,508,460.00 "
2016,Argentina,42.02,2.07,9.6,14.65,Americas,Non-OECD,Upper middle income,Year," $18,680.00 "," 43,508,460.00 "
2017,Argentina,40.56,1.91,8.73,15.34,Americas,Non-OECD,Upper middle income,," $18,992.00 "," 43,937,144.00 "
2017,Argentina,37.62,1.62,7.31,16.99,Americas,Non-OECD,Upper middle income,," $18,992.00 "," 43,937,144.00 "
2017,Argentina,38.8,1.74,7.32,17,Americas,Non-OECD,Upper middle income,," $18,992.00 "," 43,937,144.00 "
2017,Argentina,41.2,1.98,9.17,15.02,Americas,Non-OECD,Upper middle income,Year," $18,992.00 "," 43,937,144.00 "
2018,Argentina,39.6,1.8,7.56,16.8,Americas,Non-OECD,Upper middle income,," $18,337.00 "," 44,361,148.00 "
1986,Armenia,26.9,,,,Asia,Non-OECD,Upper middle income,,," 3,392,256.00 "
1988,Armenia,28,,,,Asia,Non-OECD,Upper middle income,Month,," 3,504,651.00 "
1989,Armenia,25.9,,,,Asia,Non-OECD,Upper middle income,Month,," 3,536,469.00 "
1989,Armenia,25.8,,,,Asia,Non-OECD,Upper middle income,Month,," 3,536,469.00 "
1990,Armenia,26.9,,,,Asia,Non-OECD,Upper middle income,Month,3742," 3,538,165.00 "
1991,Armenia,29.6,,,,Asia,Non-OECD,Upper middle income,,3336," 3,505,251.00 "
1992,Armenia,35.5,,,,Asia,Non-OECD,Upper middle income,,1977," 3,442,810.00 "
1993,Armenia,36.6,,,,Asia,Non-OECD,Upper middle income,,1845," 3,363,098.00 "
1994,Armenia,32.1,,,,Asia,Non-OECD,Upper middle income,,1992," 3,283,660.00 "
1995,Armenia,38.1,,,,Asia,Non-OECD,Upper middle income,,2173," 3,217,342.00 "
1996,Armenia,42,,,,Asia,Non-OECD,Upper middle income,Month,2337," 3,168,215.00 "
1996,Armenia,61.3,7.29,36.51,6.87,Asia,Non-OECD,Upper middle income,Month,2337," 3,168,215.00 "
1996,Armenia,48.2,3.11,12.13,12.78,Asia,Non-OECD,Upper middle income,Month,2337," 3,168,215.00 "
1996,Armenia,44.42,2.36,9.15,14.9,Asia,Non-OECD,Upper middle income,Year,2337," 3,168,213.00 "
1998,Armenia,55.5,4.72,22.52,9.58,Asia,Non-OECD,Upper middle income,Month,2640," 3,108,684.00 "
1998,Armenia,36.5,1.71,6.99,17.61,Asia,Non-OECD,Upper middle income,Month,2640," 3,108,684.00 "
1999,Armenia,36.22,1.55,5.84,19.15,Asia,Non-OECD,Upper middle income,Year,2744," 3,089,020.00 "
2000,Armenia,48.6,,,,Asia,Non-OECD,Upper middle income,,2925," 3,069,588.00 "
2001,Armenia,35.36,1.48,5.68,19.61,Asia,Non-OECD,Upper middle income,Year,3224," 3,050,686.00 "
2002,Armenia,35.9,,,,Asia,Non-OECD,Upper middle income,Month,3669," 3,033,897.00 "
2002,Armenia,34.78,1.44,5.4,20.08,Asia,Non-OECD,Upper middle income,Year,3669," 3,033,976.00 "
2003,Armenia,48.4,2.8,13.15,13.17,Asia,Non-OECD,Upper middle income,Month,4207," 3,017,806.00 "
2003,Armenia,54.3,,,,Asia,Non-OECD,Upper middle income,,4207," 3,017,806.00 "
2003,Armenia,33.03,1.34,4.87,21.11,Asia,Non-OECD,Upper middle income,Year,4207," 3,017,938.00 "
2004,Armenia,45.5,,,,Asia,Non-OECD,Upper middle income,,4674," 3,000,612.00 "
2004,Armenia,37.51,1.66,6.03,19.06,Asia,Non-OECD,Upper middle income,Year,4674," 3,000,715.00 "
2005,Armenia,43.4,,,,Asia,Non-OECD,Upper middle income,,5357," 2,981,259.00 "
2005,Armenia,35.99,1.55,5.55,19.87,Asia,Non-OECD,Upper middle income,Year,5357," 2,981,262.00 "
2006,Armenia,40,,,,Asia,Non-OECD,Upper middle income,,6110," 2,958,500.00 "
2006,Armenia,29.71,1.11,4.34,22.08,Asia,Non-OECD,Upper middle income,Year,6111," 2,958,301.00 "
2007,Armenia,30.2,,5.57,20,Asia,Non-OECD,Upper middle income,,7011," 2,933,056.00 "
2007,Armenia,,1.38,5.62,19.8,Asia,Non-OECD,Upper middle income,,7011," 2,933,056.00 "
2007,Armenia,31.23,1.18,4.76,21.21,Asia,Non-OECD,Upper middle income,Year,7012," 2,932,615.00 "
2008,Armenia,33.9,,5.43,21,Asia,Non-OECD,Upper middle income,,7558," 2,908,220.00 "
2008,Armenia,,1.25,5.14,20.3,Asia,Non-OECD,Upper middle income,,7558," 2,908,220.00 "
2008,Armenia,29.19,1.07,4.21,22.19,Asia,Non-OECD,Upper middle income,Year,7560," 2,907,615.00 "
2009,Armenia,35.5,,5.29,21,Asia,Non-OECD,Upper middle income,,6533," 2,888,584.00 "
2009,Armenia,,1.26,5.13,20.3,Asia,Non-OECD,Upper middle income,,6533," 2,888,584.00 "
2009,Armenia,28.02,1,4.01,22.87,Asia,Non-OECD,Upper middle income,Year,6534," 2,888,094.00 "
2010,Armenia,36.2,1.82,9,16,Asia,Non-OECD,Upper middle income,," $6,703.00 "," 2,877,311.00 "
2010,Armenia,,1.33,5.23,20.3,Asia,Non-OECD,Upper middle income,," $6,703.00 "," 2,877,311.00 "
2010,Armenia,29.99,1.13,4.33,22.15,Asia,Non-OECD,Upper middle income,Year," $6,703.00 "," 2,877,314.00 "
